자치구,시설수,영유아인구수,일평균방문자수,평균통행속도,주차장수,어린이교통사고,보호구역수,영유아1000명당시설수,영유아1000명당주차장수,보호구역1개당사고수
강남구,322,15427,396765.4499319728,25.236773255982534,121,93.0,104,20.872496272768522,7.8433914565372405,0.8942307692307693
강동구,137,16241,148263.92377551022,22.719084982384512,31,74.0,86,8.4354411674158,1.9087494612400715,0.8604651162790697
강북구,95,5188,77325.1442857143,21.82912128591106,56,29.0,35,18.31148804934464,10.794140323824209,0.8285714285714286
강서구,124,15235,192079.58989795917,23.568247420318052,96,49.0,88,8.139153265507057,6.301279947489333,0.5568181818181818
관악구,86,8007,144243.48408163266,23.298973626640738,38,29.0,68,10.740601973273385,4.745847383539403,0.4264705882352941
광진구,119,7233,138968.13506802722,24.14079369543681,45,23.0,64,16.452371077008156,6.221484861053505,0.359375
구로구,98,11644,128321.94717687074,26.382763271168624,46,36.0,56,8.416351769151495,3.95053246307111,0.6428571428571429
금천구,40,4977,59034.5161904762,24.897223464927258,250,32.0,43,8.036970062286517,50.23106288929074,0.7441860465116279
노원구,218,12304,156620.8443537415,23.60374893223995,54,64.0,115,17.71781534460338,4.388816644993498,0.5565217391304348
도봉구,82,6458,77506.64455782314,22.788354155905644,29,21.0,64,12.697429544750698,4.49055435119232,0.328125
동대문구,95,9245,114127.34401360544,23.430664910468323,81,44.0,72,10.275824770146025,8.761492698756085,0.6111111111111112
동작구,185,9916,124269.60268707482,25.345760762850947,76,36.0,60,18.656716417910445,7.664380798709157,0.6
마포구,255,10104,201168.57210884354,24.65455212316684,99,35.0,52,25.237529691211403,9.798099762470308,0.6730769230769231
서대문구,101,8601,137814.41030612245,23.32545553359684,23,33.0,37,11.742820602255552,2.674107661899779,0.8918918918918919
서초구,198,12740,297954.3372108844,25.980973994746346,59,73.0,92,15.54160125588697,4.631083202511774,0.7934782608695652
성동구,113,9139,132534.1099659864,25.019589270395553,245,25.0,48,12.364591311959733,26.808184702921547,0.5208333333333334
성북구,99,11444,138882.14057823128,23.716099585146786,23,33.0,98,8.650821391121985,2.0097867878364206,0.336734693877551
송파구,225,20744,273853.10214285715,24.615102659862742,265,105.0,98,10.846509834168916,12.774778249132279,1.0714285714285714
양천구,131,10706,97175.44006802721,26.49829770905138,131,66.0,82,12.23612927330469,12.23612927330469,0.8048780487804879
영등포구,94,11914,204023.16200680274,24.877629709740553,164,60.0,64,7.889877455094847,13.7653181131442,0.9375
용산구,123,5785,165544.97275510206,27.10624465944145,58,18.0,35,21.261884183232496,10.025929127052722,0.5142857142857142
은평구,129,11406,93905.29295918367,23.348104928817737,17,54.0,68,11.309836927932666,1.4904436261616694,0.7941176470588235
종로구,441,2783,194183.317585034,22.63709357205602,73,19.0,45,158.46209126841538,26.230686309737692,0.4222222222222222
중구,170,3081,200781.87642857144,22.285990752484814,149,22.0,42,55.17689061992859,48.360921778643295,0.5238095238095238
중랑구,59,9721,93299.01537414966,23.825519552021266,74,46.0,42,6.069334430614135,7.612385557041456,1.0952380952380953
