,자치구,연도,어린이교통사고,어린이보행,어린이보호구역
0,강남구,2020,76.0,19.0,6.0
1,강남구,2021,81.0,25.0,3.0
2,강남구,2022,111.0,43.0,7.0
3,강남구,2023,99.0,34.0,7.0
4,강남구,2024,93.0,37.0,6.0
5,강동구,2020,40.0,17.0,7.0
6,강동구,2021,40.0,15.0,1.0
7,강동구,2022,53.0,19.0,1.0
8,강동구,2023,54.0,23.0,1.0
9,강동구,2024,74.0,27.0,3.0
10,강북구,2020,33.0,8.0,1.0
11,강북구,2021,25.0,9.0,3.0
12,강북구,2022,47.0,20.0,5.0
13,강북구,2023,36.0,14.0,2.0
14,강북구,2024,29.0,12.0,2.0
15,강서구,2020,43.0,14.0,5.0
16,강서구,2021,58.0,22.0,5.0
17,강서구,2022,63.0,23.0,9.0
18,강서구,2023,59.0,23.0,4.0
19,강서구,2024,49.0,17.0,10.0
20,관악구,2020,34.0,13.0,2.0
21,관악구,2021,32.0,7.0,3.0
22,관악구,2022,23.0,8.0,2.0
23,관악구,2023,16.0,7.0,2.0
24,관악구,2024,29.0,10.0,2.0
25,광진구,2020,22.0,11.0,4.0
26,광진구,2021,39.0,20.0,4.0
27,광진구,2022,32.0,13.0,3.0
28,광진구,2023,27.0,14.0,3.0
29,광진구,2024,23.0,11.0,4.0
30,구로구,2020,32.0,16.0,4.0
31,구로구,2021,33.0,15.0,4.0
32,구로구,2022,50.0,22.0,4.0
33,구로구,2023,48.0,26.0,5.0
34,구로구,2024,36.0,12.0,9.0
35,금천구,2020,20.0,7.0,1.0
36,금천구,2021,27.0,9.0,1.0
37,금천구,2022,27.0,10.0,2.0
38,금천구,2023,34.0,13.0,3.0
39,금천구,2024,32.0,5.0,2.0
40,노원구,2020,54.0,11.0,1.0
41,노원구,2021,55.0,19.0,3.0
42,노원구,2022,64.0,18.0,5.0
43,노원구,2023,50.0,12.0,6.0
44,노원구,2024,64.0,27.0,7.0
45,도봉구,2020,19.0,9.0,2.0
46,도봉구,2021,20.0,10.0,2.0
47,도봉구,2022,27.0,8.0,0.0
48,도봉구,2023,16.0,7.0,2.0
49,도봉구,2024,21.0,7.0,4.0
50,동대문구,2020,31.0,8.0,4.0
51,동대문구,2021,26.0,12.0,2.0
52,동대문구,2022,38.0,15.0,5.0
53,동대문구,2023,39.0,15.0,2.0
54,동대문구,2024,44.0,12.0,6.0
55,동작구,2020,24.0,6.0,2.0
56,동작구,2021,37.0,17.0,1.0
57,동작구,2022,35.0,12.0,0.0
58,동작구,2023,42.0,14.0,4.0
59,동작구,2024,36.0,16.0,4.0
60,마포구,2020,34.0,5.0,2.0
61,마포구,2021,30.0,6.0,1.0
62,마포구,2022,36.0,12.0,2.0
63,마포구,2023,29.0,9.0,1.0
64,마포구,2024,35.0,7.0,1.0
65,서대문구,2020,36.0,13.0,2.0
66,서대문구,2021,28.0,10.0,2.0
67,서대문구,2022,49.0,18.0,3.0
68,서대문구,2023,30.0,10.0,5.0
69,서대문구,2024,33.0,13.0,2.0
70,서초구,2020,43.0,9.0,3.0
71,서초구,2021,55.0,15.0,2.0
72,서초구,2022,65.0,14.0,1.0
73,서초구,2023,80.0,22.0,4.0
74,서초구,2024,73.0,13.0,5.0
75,성동구,2020,18.0,4.0,1.0
76,성동구,2021,21.0,9.0,3.0
77,성동구,2022,24.0,14.0,3.0
78,성동구,2023,40.0,14.0,2.0
79,성동구,2024,25.0,8.0,2.0
80,성북구,2020,32.0,13.0,2.0
81,성북구,2021,44.0,15.0,4.0
82,성북구,2022,45.0,14.0,2.0
83,성북구,2023,48.0,22.0,3.0
84,성북구,2024,33.0,13.0,1.0
85,송파구,2020,88.0,24.0,1.0
86,송파구,2021,88.0,16.0,5.0
87,송파구,2022,99.0,26.0,5.0
88,송파구,2023,106.0,25.0,6.0
89,송파구,2024,105.0,27.0,6.0
90,양천구,2020,47.0,14.0,4.0
91,양천구,2021,68.0,24.0,5.0
92,양천구,2022,60.0,24.0,6.0
93,양천구,2023,59.0,22.0,7.0
94,양천구,2024,66.0,27.0,7.0
95,영등포구,2020,50.0,14.0,4.0
96,영등포구,2021,79.0,18.0,4.0
97,영등포구,2022,39.0,5.0,2.0
98,영등포구,2023,63.0,16.0,4.0
99,영등포구,2024,60.0,14.0,5.0
100,용산구,2020,24.0,8.0,2.0
101,용산구,2021,18.0,2.0,0.0
102,용산구,2022,30.0,12.0,3.0
103,용산구,2023,23.0,9.0,0.0
104,용산구,2024,18.0,5.0,0.0
105,은평구,2020,36.0,12.0,1.0
106,은평구,2021,49.0,20.0,4.0
107,은평구,2022,45.0,25.0,4.0
108,은평구,2023,48.0,15.0,2.0
109,은평구,2024,54.0,27.0,4.0
110,종로구,2020,16.0,2.0,1.0
111,종로구,2021,15.0,2.0,1.0
112,종로구,2022,34.0,11.0,1.0
113,종로구,2023,16.0,5.0,1.0
114,종로구,2024,19.0,5.0,0.0
115,중구,2020,14.0,7.0,2.0
116,중구,2021,21.0,5.0,1.0
117,중구,2022,22.0,3.0,1.0
118,중구,2023,20.0,4.0,2.0
119,중구,2024,22.0,5.0,2.0
120,중랑구,2020,62.0,9.0,1.0
121,중랑구,2021,37.0,10.0,4.0
122,중랑구,2022,46.0,21.0,1.0
123,중랑구,2023,45.0,18.0,4.0
124,중랑구,2024,46.0,15.0,2.0
