,자치구,기준연도,기준월,기준유형,총인구수,영유아인구수,0세,1세,2세,3세,4세,5세
0,서울특별시,2020,0,연도,9668465,339289,45165,50482,53099,57331,64404,68808
1,서울특별시,2021,0,연도,9509458,307525,43410,44904,48900,51445,55879,62987
2,서울특별시,2022,0,연도,9428372,282707,40742,43950,44177,48120,50630,55088
3,서울특별시,2023,0,연도,9386034,263305,37771,41087,43013,43637,47506,50291
4,서울특별시,2024,0,연도,9331828,250043,39588,37696,40295,42163,43155,47146
5,서울특별시,2025,0,연도,9299548,245680,43645,39703,37268,39955,42056,43053
6,서울특별시,2026,1,월,9299701,245893,43861,40402,36836,39821,42042,42931
7,서울특별시,2026,2,월,9304129,246328,44428,40654,36880,39680,41943,42743
8,서울특별시,2026,3,월,9304400,246981,45335,40897,36748,39352,41836,42813
9,강남구,2020,0,연도,539231,17498,2159,2504,2594,2972,3392,3877
10,강남구,2021,0,연도,533042,15856,2100,2130,2451,2618,3064,3493
11,강남구,2022,0,연도,529102,14644,1858,2200,2179,2531,2718,3158
12,강남구,2023,0,연도,544873,15156,2131,2177,2356,2481,2885,3126
13,강남구,2024,0,연도,557345,15427,2397,2293,2333,2501,2749,3154
14,강남구,2025,0,연도,556330,15375,2711,2375,2271,2404,2684,2930
15,강남구,2026,1,월,555787,15348,2702,2396,2241,2428,2662,2919
16,강남구,2026,2,월,555502,15406,2695,2389,2276,2401,2680,2965
17,강남구,2026,3,월,554165,15412,2742,2420,2278,2359,2666,2947
18,강동구,2020,0,연도,459970,19166,2575,2978,2974,3151,3623,3865
19,강동구,2021,0,연도,462664,18344,2666,2737,3005,3038,3232,3666
20,강동구,2022,0,연도,460067,17140,2494,2694,2737,2960,3002,3253
21,강동구,2023,0,연도,459167,15963,2135,2501,2656,2714,2914,3043
22,강동구,2024,0,연도,476942,16241,2476,2366,2597,2802,2896,3104
23,강동구,2025,0,연도,499127,17104,2808,2777,2513,2796,3094,3116
24,강동구,2026,1,월,499307,17099,2818,2780,2508,2788,3104,3101
25,강동구,2026,2,월,500063,17208,2897,2775,2533,2803,3112,3088
26,강동구,2026,3,월,499795,17199,2952,2733,2511,2782,3111,3110
27,강북구,2020,0,연도,308055,8309,1003,1149,1309,1503,1651,1694
28,강북구,2021,0,연도,299182,7253,945,1015,1081,1235,1420,1557
29,강북구,2022,0,연도,293660,6465,804,990,1018,1050,1209,1394
30,강북구,2023,0,연도,288113,5724,791,808,945,998,1004,1178
31,강북구,2024,0,연도,283597,5188,741,792,777,916,963,999
32,강북구,2025,0,연도,278928,4875,762,785,790,764,858,916
33,강북구,2026,1,월,278750,4882,805,790,770,774,873,870
34,강북구,2026,2,월,278786,4898,821,787,779,775,855,881
35,강북구,2026,3,월,278786,4868,827,790,762,788,850,851
36,강서구,2020,0,연도,580185,21816,3053,3279,3393,3630,4126,4335
37,강서구,2021,0,연도,574315,19618,2815,2928,3169,3240,3467,3999
38,강서구,2022,0,연도,569166,17683,2675,2738,2798,3043,3096,3333
39,강서구,2023,0,연도,563058,16343,2451,2603,2642,2703,2946,2998
40,강서구,2024,0,연도,556171,15235,2554,2267,2463,2522,2597,2832
41,강서구,2025,0,연도,549711,14543,2645,2384,2193,2345,2456,2520
42,강서구,2026,1,월,549536,14500,2644,2441,2136,2336,2430,2513
43,강서구,2026,2,월,549050,14531,2652,2481,2122,2357,2410,2509
44,강서구,2026,3,월,548985,14567,2651,2540,2146,2300,2416,2514
45,관악구,2020,0,연도,495060,12413,1745,1851,1898,2106,2298,2515
46,관악구,2021,0,연도,485699,10656,1544,1638,1693,1711,1934,2136
47,관악구,2022,0,연도,486752,9592,1486,1523,1567,1601,1589,1826
48,관악구,2023,0,연도,481956,8619,1324,1371,1428,1448,1509,1539
49,관악구,2024,0,연도,477812,8007,1375,1258,1269,1326,1363,1416
50,관악구,2025,0,연도,477605,7808,1565,1305,1170,1197,1272,1299
51,관악구,2026,1,월,477657,7784,1583,1327,1140,1173,1295,1266
52,관악구,2026,2,월,478195,7735,1593,1340,1144,1152,1289,1217
53,관악구,2026,3,월,478468,7697,1569,1360,1113,1171,1287,1197
54,광진구,2020,0,연도,346682,10514,1402,1612,1672,1753,1912,2163
55,광진구,2021,0,연도,339996,9157,1353,1313,1509,1514,1649,1819
56,광진구,2022,0,연도,337416,8375,1198,1334,1270,1483,1479,1611
57,광진구,2023,0,연도,335554,7750,1120,1204,1261,1271,1434,1460
58,광진구,2024,0,연도,331963,7233,1172,1067,1160,1198,1238,1398
59,광진구,2025,0,연도,331167,7134,1269,1170,1072,1141,1223,1259
60,광진구,2026,1,월,330933,7125,1275,1205,1060,1127,1208,1250
61,광진구,2026,2,월,331095,7137,1285,1220,1065,1124,1198,1245
62,광진구,2026,3,월,331123,7175,1329,1207,1079,1089,1208,1263
63,구로구,2020,0,연도,404408,15979,2209,2458,2592,2677,2933,3110
64,구로구,2021,0,연도,396754,14337,2135,2151,2356,2438,2494,2763
65,구로구,2022,0,연도,395315,13387,2047,2194,2088,2283,2359,2416
66,구로구,2023,0,연도,392405,12291,1830,2032,2016,1993,2160,2260
67,구로구,2024,0,연도,388169,11644,2004,1818,1960,1909,1887,2066
68,구로구,2025,0,연도,383829,11116,2083,1930,1729,1810,1793,1771
69,구로구,2026,1,월,383226,11085,2082,1955,1698,1793,1763,1794
70,구로구,2026,2,월,382800,11046,2140,1944,1714,1753,1740,1755
71,구로구,2026,3,월,382836,11054,2177,1960,1700,1733,1718,1766
72,금천구,2020,0,연도,231733,7220,1007,1068,1135,1232,1333,1445
73,금천구,2021,0,연도,230811,6494,965,1007,1035,1094,1144,1249
74,금천구,2022,0,연도,229642,5973,959,960,956,996,1028,1074
75,금천구,2023,0,연도,227481,5422,897,887,878,882,936,942
76,금천구,2024,0,연도,225159,4977,820,808,830,819,822,878
77,금천구,2025,0,연도,223290,4681,867,756,755,774,776,753
78,금천구,2026,1,월,223012,4647,869,767,737,776,757,741
79,금천구,2026,2,월,222809,4627,888,778,724,764,741,732
80,금천구,2026,3,월,222712,4645,891,797,720,754,732,751
81,노원구,2020,0,연도,523037,17208,2188,2478,2595,2968,3274,3705
82,노원구,2021,0,연도,510956,15376,2164,2224,2394,2476,2866,3252
83,노원구,2022,0,연도,503734,14066,2194,2144,2192,2321,2399,2816
84,노원구,2023,0,연도,498213,12993,2000,2137,2053,2147,2285,2371
85,노원구,2024,0,연도,491247,12304,1967,1964,2025,1984,2102,2262
86,노원구,2025,0,연도,483541,12018,2268,1933,1878,1951,1929,2059
