,주차장코드,주차장명,주소,주차장 종류명,운영구분명,전화번호,주차현황 정보 제공여부명,총 주차면,유무료구분명,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분명","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),일 최대 요금,위도,경도,자치구,has_coords,has_capacity,null_count
0,74588,가오천 노상공영(구),강북구 수유동 181-40,노상 주차장,시간제 + 거주자 주차장,,미연계중,1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,0.0,0.0,2019-06-10 09:54:06,무료,무료,100000.0,1130510300007.0,200.0,5.0,200.0,5.0,10000.0,,,강북구,0,1,3
1,74849,빨래골 노상공영(구),강북구 수유동 49-27,노상 주차장,시간제 + 거주자 주차장,02-944-3025,미연계중,1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,0.0,0.0,2019-06-10 09:55:00,무료,무료,100000.0,1130510300006.0,200.0,5.0,200.0,5.0,10000.0,,,강북구,0,1,2
2,75160,아카데미 노상공영(구),강북구 수유동 535-76,노상 주차장,시간제 + 거주자 주차장,,미연계중,1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,900.0,1800.0,2019-06-10 09:54:51,무료,무료,100000.0,1130510300009.0,200.0,5.0,200.0,5.0,10000.0,,,강북구,0,1,3
3,75432,아카데미 노상공영(구),강북구 수유동 535-76,노상 주차장,시간제 + 거주자 주차장,,미연계중,1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,900.0,1800.0,2019-06-10 09:54:08,무료,무료,100000.0,1130510300009.0,200.0,5.0,200.0,5.0,10000.0,,,강북구,0,1,3
4,75617,아카데미 노상공영(구),강북구 수유동 535-76,노상 주차장,시간제 + 거주자 주차장,,미연계중,1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,900.0,1800.0,2019-06-10 09:54:18,무료,무료,100000.0,1130510300009.0,200.0,5.0,200.0,5.0,10000.0,,,강북구,0,1,3
5,79588,아카데미 노상공영(구),강북구 수유동 535-76,노상 주차장,시간제 + 거주자 주차장,,미연계중,1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,900.0,1800.0,2019-06-10 09:53:46,무료,무료,100000.0,1130510300009.0,200.0,5.0,200.0,5.0,10000.0,,,강북구,0,1,3
6,79674,아카데미 노상공영(구),강북구 수유동 535-76,노상 주차장,시간제 + 거주자 주차장,,미연계중,1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,900.0,1800.0,2019-06-10 09:53:52,무료,무료,100000.0,1130510300009.0,200.0,5.0,200.0,5.0,10000.0,,,강북구,0,1,3
7,79957,빨래골 노상공영(구),강북구 수유동 49-27,노상 주차장,시간제 + 거주자 주차장,02-944-3025,미연계중,1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,0.0,0.0,2019-06-10 09:54:03,무료,무료,100000.0,1130510300006.0,200.0,5.0,200.0,5.0,10000.0,,,강북구,0,1,2
8,119824,여의도공원앞1 노상주차장(구),영등포구 여의도동 2-11,노상 주차장,시간제 주차장,02-2650-1436,미연계중,1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,0.0,0.0,2020-09-09 10:42:19,무료,유료,200000.0,1156011000120.0,500.0,5.0,1000.0,10.0,20000.0,,,영등포구,0,1,2
9,144561,한국통신(구),양천구 목동 924-1,노상 주차장,시간제 주차장,,미연계중,1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,0.0,0.0,2019-06-10 11:03:02,무료,유료,0.0,1147010200008.0,250.0,5.0,250.0,5.0,0.0,,,양천구,0,1,3
10,147462,부영그린 공영노상주차장(구),양천구 목동 908-35,노상 주차장,시간제 주차장,02-2644-1386,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,유료,야간 미개방,900.0,1900.0,900.0,1500.0,0.0,0.0,2023-12-06 18:00:52,무료,유료,100000.0,1147010200029.0,150.0,5.0,0.0,0.0,9000.0,,,양천구,0,1,2
11,171721,세종로 공영주차장(시),종로구 세종로 80-1,노외 주차장,시간제 주차장,02-2290-6566,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1260.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-12-29 10:00:55,무료,무료,176000.0,,430.0,5.0,430.0,5.0,30900.0,37.57340269,126.97588429,종로구,1,1,1
12,171724,서인사마당공영(구),종로구 견지동 85-18,노외 주차장,시간제 주차장,02-2236-0052,미연계중,45.0,유료,야간 미개방,800.0,2200.0,800.0,2200.0,800.0,2200.0,2019-06-10 09:30:49,무료,무료,250000.0,,400.0,5.0,400.0,5.0,,,,종로구,0,1,4
13,171730,종묘주차장 공영주차장(시),종로구 훈정동 2-0,노외 주차장,시간제 주차장,02-2290-6166,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1317.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2023-12-29 10:11:10,무료,무료,175000.0,,400.0,5.0,400.0,5.0,28800.0,37.57150398,126.99496888,종로구,1,1,1
14,171778,명광교회공영주차장(구),종로구 명륜3가 12-0,노외 주차장,시간제 주차장,02-2236-0052,미연계중,8.0,유료,야간 미개방,0.0,2400.0,0.0,2400.0,0.0,2400.0,2019-06-10 09:31:40,무료,무료,180000.0,,250.0,5.0,250.0,5.0,0.0,,,종로구,0,1,3
15,171802,창신1동공영주차장(창일공영)(구),종로구 창신동 82-0,노외 주차장,시간제 + 거주자 주차장,02-2236-0052,미연계중,86.0,유료,야간 미개방,900.0,1800.0,900.0,1800.0,900.0,1800.0,2019-06-10 09:31:42,무료,무료,0.0,,2000.0,240.0,,,5000.0,,,종로구,0,1,5
