facility_id,facility_name,source_dataset,facility_type_main,facility_type_sub,sigungu,dong,address,lat,lon,phone,homepage,operation_hours,closed_days,indoor_outdoor,fee_free_yn,parking_available_yn,nursing_room_yn,stroller_rental_yn,kids_zone_yn,age_target,theme_play_yn,theme_edu_yn,theme_nature_yn
JR260301,서울형 키즈카페 중랑구 중화2동점(중랑실내놀이터 중랑역점),서울형키즈카페,키즈카페,공립 키즈카페,중랑구,중화2동,서울특별시 중랑구 중랑역로3길 28 2층 (중화동),37.59502,127.07492,02-436-3681,,화요일 ~ 일요일,"월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정",실내,Y,,,,,2세 ~ 6세,Y,,
SB260302,서울형 키즈카페 성북구 월곡1동점,서울형키즈카페,키즈카페,공립 키즈카페,성북구,월곡1동,서울특별시 성북구 오패산로10길 19 육아종합지원센터 2층 (하월곡동),37.60568,127.03796,02-2241-0758,,월~토,"일요일, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일",실내,N,,,,,0세 ~ 4세,Y,,
NW260302,서울형 키즈카페 노원구 상계2동점,서울형키즈카페,키즈카페,공립 키즈카페,노원구,상계2동,서울특별시 노원구 상계로9나길 25 빛가온교회 드림센터 1층 (상계동),37.66068,127.06739,02-952-3446,,월~토,"일, 공휴일, 근로자의 날",실내,N,,,,,0세 ~ 4세,Y,,
EP260302,서울형 키즈카페 은평구 갈곡리공원점(은평아이맘놀이터),서울형키즈카페,키즈카페,공립 키즈카페,은평구,갈현1동,"서울특별시 은평구 갈현로41길 3 지하1층, 지상1층 (갈현동)",37.62392,126.91664,02-388-0752,,화~일요일,"월요일(정기휴관), 근로자의 날, 법정 공휴일(어린이날 제외)",실내,N,,,,,4세 ~ 7세,Y,,
YC260201,서울형 키즈카페 양천구 목3동점,서울형키즈카페,키즈카페,공립 키즈카페,양천구,목3동,서울특별시 양천구 등촌로 208 목동깨비시장 공유센터 3층 (목동),37.54827,126.86372,02-2135-8378,,화요일~일요일,"월, 공휴일(어린이날 제외), 근로자의 날",실내,N,,,,,0세 ~ 6세,Y,,
MP260201,서울형 키즈카페 마포구 쌍룡산근린공원점(염리동),서울형키즈카페,키즈카페,공립 키즈카페,마포구,염리동,서울특별시 마포구 대흥로24바길 55 쌍룡산근린공원점 (염리동),37.55279049,126.9497254,010-5945-2455,,"화,수,목,금,토,일","월요일, 명절 및 공휴일, 근로자의날",실내,N,,,,,4세 ~ 9세,Y,,
DJ260201,서울형 키즈카페 동작구 사당1동점(동작키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,동작구,사당1동,서울특별시 동작구 남부순환로 2081 3층 (사당어르신복지관) (사당동),37.47704,126.97984,02-583-4569,,화~일요일,"월, 공휴일, 대체공휴일 및 근로자의날",실내,N,,,,,0세 ~ 6세,Y,,
YF260101,서울형 키즈카페 여의동점(영등포구 영어키즈카페),서울형키즈카페,키즈카페,공립 키즈카페,영등포구,여의동,"서울특별시 영등포구 국제금융로 39 지하1층 (여의도동, 브라이튼 여의도)",37.52446667,126.9300098,02-780-6088,,화요일~일요일,"월요일, 근로자의 날, 법정공휴일",실내,N,,,,,0세 ~ 6세,Y,,
SM260101,서울형 키즈카페 서대문구 홍제1동점,서울형키즈카페,키즈카페,공립 키즈카페,서대문구,홍제1동,서울특별시 서대문구 통일로39길 22-31 홍광문화선교원 3층 (홍제동),37.58879331,126.9440074,02-396-1006,,월~토,"일요일, 공휴일, 근로자의 날, 선거일, 임시 공휴일",실내,N,,,,,1세 ~ 6세,Y,,
SP260102,서울형 키즈카페 송파구 어린이문화회관점(하하호호놀이터 송파구6호점),서울형키즈카페,키즈카페,공립 키즈카페,송파구,오금동,서울특별시 송파구 중대로 235 1층 (오금동),37.5027496,127.1283946,070-4135-9720,,월~토,"일요일, 명절 및 법정공휴일, 근로자의 날 ",실내,Y,,,,,0세 ~ 4세,Y,,
SP260101,서울형키즈카페 시립 한성백제박물관점 (서울백제어린이박물관),서울형키즈카페,키즈카페,공립 키즈카페,송파구,방이1동,"서울특별시 송파구 올림픽로 424 서울백제어린이박물관 (방이동, 올림픽공원내 북2문 인근)",37.52393305,127.1242956,02-2152-5902,,화~일,"월 (시범운영 기간은 월, 토, 일요일 휴관)",실내,Y,,,,,0세 ~ 3세,Y,,
GJ260101,서울형 키즈카페 시립 아리수나라점,서울형키즈카페,키즈카페,공립 키즈카페,광진구,능동,서울특별시 광진구 능동로 216 서울아리수본부 (능동),37.55201,127.07877,02-3146-5946,,화~일,"매주 월요일, 1월 1일, 설날 및 추석 연휴",실내,Y,,,,,0세 ~ 9세,Y,,
MP251201,서울형 키즈카페 마포구 서강동１호점,서울형키즈카페,키즈카페,공립 키즈카페,마포구,서강동,서울특별시 마포구 토정로 148-14 2층 (상수동),37.54508,126.92703,02-323-0187,,화~일,"월요일, 명절 및 공휴일, 근로자의날",실내,N,,,,,4세 ~ 9세,Y,,
JN251201,서울형 키즈카페 시립 공예마을점,서울형키즈카페,키즈카페,공립 키즈카페,종로구,삼청동,서울특별시 종로구 율곡로3길 4 서울공예박물관 어린이박물관 (교육동 2~3층),37.57685954,126.9828154,02-6450-7000,,매주 화~일요일,"매주 월요일, 1월 1일, 그 밖에 서울공예박물관장이 지정한 날",실내,Y,,,,,0세 ~ 9세,Y,,
YC251204,서울형 키즈카페 양천구 신월5동점,서울형키즈카페,키즈카페,공립 키즈카페,양천구,신월5동,서울특별시 양천구 화곡로4길 10 신월5동주민센터 6층 (신월동),37.53859,126.82719,02-6959-4015,,화~일,"월, 공휴일(어린이날 제외), 근로자의 날",실내,N,,,,,0세 ~ 6세,Y,,
GN251201,서울형 키즈카페 강남구 대치1동점,서울형키즈카페,키즈카페,공립 키즈카페,강남구,대치1동,서울특별시 강남구 남부순환로391길 25 강남성은교회 2층 (대치동),37.49352,127.05659,02-553-0625,,월~토,"일요일 및 법정 공휴일, 노동절",실내,N,,,,,0세 ~ 6세,Y,,
SC251201,서울형 키즈카페 서초구 양재1동2호점(서리풀노리학교 양재1동2호점),서울형키즈카페,키즈카페,공립 키즈카페,서초구,양재1동,서울특별시 서초구 양재대로2길 110 1층 (우면동),37.45629144,127.0156304,02-579-9340,,화~일,"월요일, 근로자의 날, 법정공휴일 ",실내,N,,,,,0세 ~ 6세,Y,,
SB251201,서울형 키즈카페 성북구 보문동점,서울형키즈카페,키즈카페,공립 키즈카페,성북구,보문동,서울특별시 성북구 지봉로24길 26 부모아이지원센터 2층 (보문동5가),37.58387,127.01934,02-2241-0779,,월 ~ 토,"일요일, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일",실내,N,,,,,0세 ~ 6세,Y,,
GR241001,서울형 키즈카페 구로구 개봉1동점,서울형키즈카페,키즈카페,공립 키즈카페,구로구,개봉1동,서울특별시 구로구 경인로 318-15 2층 (개봉동),37.49677,126.85591,02-2060-9909,,화~일,월,실내,N,,,,,3세 ~ 5세,Y,,
