,자치구코드,자치구,요일번호,요일명,관광객구분코드,관광객구분,관광객수,일자,현지인여부,주말여부
0,11680,강남구,1,월요일,1,현지인(a),611821.0,2025-12-01,1,0
1,11680,강남구,1,월요일,2,외지인(b),552464.5,2025-12-01,0,0
2,11680,강남구,1,월요일,3,외국인(c),21938.14,2025-12-01,0,0
3,11680,강남구,2,화요일,1,현지인(a),621866.0,2025-12-02,1,0
4,11680,강남구,2,화요일,2,외지인(b),598020.5,2025-12-02,0,0
5,11680,강남구,2,화요일,3,외국인(c),22630.08,2025-12-02,0,0
6,11680,강남구,3,수요일,1,현지인(a),616483.0,2025-12-03,1,0
7,11680,강남구,3,수요일,2,외지인(b),607946.5,2025-12-03,0,0
8,11680,강남구,3,수요일,3,외국인(c),21559.33,2025-12-03,0,0
9,11680,강남구,4,목요일,1,현지인(a),625485.0,2025-12-04,1,0
10,11680,강남구,4,목요일,2,외지인(b),650352.5,2025-12-04,0,0
11,11680,강남구,4,목요일,3,외국인(c),23012.0,2025-12-04,0,0
12,11680,강남구,5,금요일,1,현지인(a),613837.0,2025-12-05,1,0
13,11680,강남구,5,금요일,2,외지인(b),679710.5,2025-12-05,0,0
14,11680,강남구,5,금요일,3,외국인(c),24681.73,2025-12-05,0,0
15,11680,강남구,6,토요일,1,현지인(a),441077.0,2025-12-06,1,1
16,11680,강남구,6,토요일,2,외지인(b),716999.5,2025-12-06,0,1
17,11680,강남구,6,토요일,3,외국인(c),25226.94,2025-12-06,0,1
18,11680,강남구,7,일요일,1,현지인(a),407088.5,2025-12-07,1,1
19,11680,강남구,7,일요일,2,외지인(b),520254.0,2025-12-07,0,1
20,11680,강남구,7,일요일,3,외국인(c),21768.73,2025-12-07,0,1
21,11680,강남구,1,월요일,1,현지인(a),607159.0,2025-12-08,1,0
22,11680,강남구,1,월요일,2,외지인(b),588126.0,2025-12-08,0,0
23,11680,강남구,1,월요일,3,외국인(c),21886.72,2025-12-08,0,0
24,11680,강남구,2,화요일,1,현지인(a),624312.5,2025-12-09,1,0
25,11680,강남구,2,화요일,2,외지인(b),644245.0,2025-12-09,0,0
26,11680,강남구,2,화요일,3,외국인(c),21767.59,2025-12-09,0,0
27,11680,강남구,3,수요일,1,현지인(a),623336.0,2025-12-10,1,0
28,11680,강남구,3,수요일,2,외지인(b),662581.5,2025-12-10,0,0
29,11680,강남구,3,수요일,3,외국인(c),21861.15,2025-12-10,0,0
30,11680,강남구,4,목요일,1,현지인(a),620931.5,2025-12-11,1,0
31,11680,강남구,4,목요일,2,외지인(b),681030.0,2025-12-11,0,0
32,11680,강남구,4,목요일,3,외국인(c),23471.43,2025-12-11,0,0
33,11680,강남구,6,토요일,1,현지인(a),433345.5,2025-12-13,1,1
34,11680,강남구,6,토요일,2,외지인(b),733981.5,2025-12-13,0,1
35,11680,강남구,6,토요일,3,외국인(c),27173.61,2025-12-13,0,1
36,11680,강남구,7,일요일,1,현지인(a),401999.5,2025-12-14,1,1
37,11680,강남구,7,일요일,2,외지인(b),550725.0,2025-12-14,0,1
38,11680,강남구,7,일요일,3,외국인(c),22370.91,2025-12-14,0,1
39,11680,강남구,1,월요일,1,현지인(a),605251.5,2025-12-15,1,0
40,11680,강남구,1,월요일,2,외지인(b),628138.0,2025-12-15,0,0
41,11680,강남구,1,월요일,3,외국인(c),23344.51,2025-12-15,0,0
42,11680,강남구,2,화요일,1,현지인(a),611863.0,2025-12-16,1,0
43,11680,강남구,2,화요일,2,외지인(b),678783.0,2025-12-16,0,0
44,11680,강남구,2,화요일,3,외국인(c),23375.36,2025-12-16,0,0
45,11680,강남구,3,수요일,1,현지인(a),622457.5,2025-12-17,1,0
46,11680,강남구,3,수요일,2,외지인(b),714906.5,2025-12-17,0,0
47,11680,강남구,3,수요일,3,외국인(c),22619.31,2025-12-17,0,0
48,11680,강남구,4,목요일,1,현지인(a),624687.0,2025-12-18,1,0
49,11680,강남구,4,목요일,2,외지인(b),761390.0,2025-12-18,0,0
50,11680,강남구,4,목요일,3,외국인(c),23785.55,2025-12-18,0,0
51,11680,강남구,5,금요일,1,현지인(a),614628.0,2025-12-19,1,0
52,11680,강남구,5,금요일,2,외지인(b),825590.5,2025-12-19,0,0
53,11680,강남구,5,금요일,3,외국인(c),25813.93,2025-12-19,0,0
54,11680,강남구,6,토요일,1,현지인(a),440538.0,2025-12-20,1,1
55,11680,강남구,6,토요일,2,외지인(b),819105.0,2025-12-20,0,1
56,11680,강남구,6,토요일,3,외국인(c),28071.91,2025-12-20,0,1
57,11680,강남구,7,일요일,1,현지인(a),403074.0,2025-12-21,1,1
58,11680,강남구,7,일요일,2,외지인(b),597117.5,2025-12-21,0,1
59,11680,강남구,7,일요일,3,외국인(c),25699.68,2025-12-21,0,1
60,11680,강남구,1,월요일,1,현지인(a),602399.0,2025-12-22,1,0
61,11680,강남구,1,월요일,2,외지인(b),703920.0,2025-12-22,0,0
62,11680,강남구,1,월요일,3,외국인(c),26428.52,2025-12-22,0,0
63,11680,강남구,2,화요일,1,현지인(a),611394.0,2025-12-23,1,0
64,11680,강남구,2,화요일,2,외지인(b),736088.5,2025-12-23,0,0
65,11680,강남구,2,화요일,3,외국인(c),28583.27,2025-12-23,0,0
66,11680,강남구,3,수요일,1,현지인(a),605454.5,2025-12-24,1,0
67,11680,강남구,3,수요일,2,외지인(b),720874.0,2025-12-24,0,0
68,11680,강남구,3,수요일,3,외국인(c),28147.29,2025-12-24,0,0
69,11680,강남구,4,목요일,1,현지인(a),395367.0,2025-12-25,1,0
70,11680,강남구,4,목요일,2,외지인(b),542640.0,2025-12-25,0,0
71,11680,강남구,4,목요일,3,외국인(c),30188.42,2025-12-25,0,0
72,11680,강남구,5,금요일,1,현지인(a),526858.5,2025-12-26,1,0
